sample_id,country,accent,reference,transcription,wer,cer,cleaned_transcription,textblob_polarity,vader_compound
0,BW,setswana,"Similarly, an ACEI or a sartan is preferred over other antihypertensive drugs in diabetic patients where they slow the progression of nephropathy.","in the life, and ACEI or a death sentence is said over other anti-hypercensors like an diabetic patient where they slow the progression of the miscarriage of the whole body.",0.7727272727272727,0.4657534246575342,life acei death sentence said antihypercensors like diabetic patient slow progression miscarriage whole body,-0.07500000000000001,-0.2732
1,BW,setswana,These causes are discussed below with regard to different levels of blood vessels: 1.,"These courses are discussed below with a regard to different levels of blood vessels, colon 1, flu stop.",0.5,0.24705882352941178,courses discussed regard different levels blood vessels colon flu stop,0.0,-0.5859
2,BW,setswana,"The moisture penetrates the sterile cloth, or paper, and carries organisms by capillary action to contaminate the eld.",Western Penetration of Stadile Cops of Paper and Creative Organizations by Teplati asking to continue their elders.,0.8333333333333334,0.5,western penetration stadile cops paper creative organizations teplati asking continue elders,0.25,0.4404
3,ZA,setswana,"Various sites may be used for subcutaneous injections, including the outer aspect of the upper arm, the abdomen from below the costal margin to the iliac crests, the anterior aspects of the thigh, the upper back and the upper ventral gluteal area.","Various sites may be used for subcutaneous injections, including the outer aspect of the upper arm, the abdomen from below the coastal, margin to the iliac crest, the anterior aspects of the thigh, the upper back, and the upper ventral gluteal area.",0.07142857142857142,0.016194331983805668,various sites may used subcutaneous injections including outer aspect upper arm abdomen coastal margin iliac crest anterior aspects thigh upper back upper ventral gluteal area,0.0,0.0
4,BW,setswana,"The major causes are as follows:iSystemic hypertensioni i Mitral or aortic valve disease stenosisiii Ischaemic heart diseaseiv Myocardial diseases e.
",The major causes are as follows. Column 1. Systemic hypertension. 2. Metrol or Iotic valve disease stenosis. 3. Ischemic heart disease. 4. Myocardial diseases. E. Full stop.,0.85,0.2751677852348993,major causes follows column systemic hypertension metrol iotic valve disease stenosis ischemic heart disease myocardial diseases full stop,0.20625,0.4588
5,BW,setswana,Cellular swelling hydropic change is characterized by the presence of large vacuoles in the cytoplasm.,ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ,4.933333333333334,2.0294117647058822,,0.0,0.0
6,BW,setswana,"In 1984, the Davis City Council declared the city to be a nuclear free zone.
","In 1984, the Davis City Council declared the city to be a nuclear-free zone.",0.13333333333333333,0.013157894736842105,1984 davis city council declared city nuclearfree zone,0.0,0.0
7,BW,setswana,Lower bath blanket to the perineal area.,Lower back blanket to the perennial area for Luskov.,0.7142857142857143,0.4,lower back blanket perennial area luskov,0.0,-0.296
8,BW,setswana,"She answers questions privately from women around the world on their problems in life, eg how to fight domestic violence, how to tell parents to let girls continue their education instead of getting married, choose a STEM career, etc.
",She answers questions privately from women around the world on their problems in life.,0.6666666666666666,0.6324786324786325,answers questions privately women around world problems life,0.0,-0.4019
9,BW,setswana,The thrombus in this way is excluded from the vascular lumen and becomes part of vessel wall.,The thrombus in this way is excluded from the vascular human and becomes part of the vascular world.,0.23529411764705882,0.15053763440860216,thrombus way excluded vascular human becomes part vascular world,0.0,-0.34
10,BW,setswana,"Assist the patient to a comfortable position and readjust thepillows and supports, as needed.","Asist the patient to a comfortable position and readjust the pillows and support, as needed.",0.2857142857142857,0.03225806451612903,asist patient comfortable position readjust pillows support needed,0.4,0.7184
11,BW,setswana,"Why then would a man who believed integrity was more valuable than money eight years ago, stand by money and deify it ahead of integrity today?
",Why then a man who believed integrity was more valuable than money eight years ago? Stand by money and defy it ahead of integrity today?,0.15384615384615385,0.06293706293706294,man believed integrity valuable money eight years ago stand money defy ahead integrity today,0.5,0.8382
12,BW,setswana,Infusing medication at appropriate rate prevents injury.,Infusing medication at appropriate rate prevents injury. Full stop.,0.2857142857142857,0.19642857142857142,infusing medication appropriate rate prevents injury full stop,0.425,-0.5719
13,BW,setswana,"Dr Nkirika Fasan speaking. Next line. Pain is worse with sitting, standing, and walking. Patient Chibidoro has tried analgesic medication. Next line
","Dr. Inkirika Fassan speaking, full stop. Next line, full stop. Pain is worth with sitting, comma, standing, comma, and walking, full stop. Patient Chibidoru has tried analgesic medication, full stop. Next line.",0.9090909090909091,0.44594594594594594,inkirika fassan speaking full stop next line full stop pain worth sitting comma standing comma walking full stop patient chibidoru tried analgesic medication full stop next line,0.24285714285714288,-0.8481
14,BW,setswana,"Similarly, Makinde appears unshaken about the exit of some members of the PDP and of the coalition.
",ស ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ ឡ,8.705882352941176,2.8181818181818183,,0.0,0.0
15,BW,setswana,"The broad anterior surface of the scapula, called the subscapular fossa,  is slightly concave and relatively featureless.","The broad anterior surface of the scapula, called the subscapula fossa, is likely concave and relatively featureless.",0.11764705882352941,0.049586776859504134,broad anterior surface scapula called subscapula fossa likely concave relatively featureless,0.020833333333333332,0.0
16,BW,setswana,"If this really happened, youd see a series of random disconnected incidents that would create a pattern of chaos.
","If this really happened, you'd see a series of random disconnected incidents that would create a pattern of chaos.",0.05263157894736842,0.008849557522123894,really happened youd see series random disconnected incidents would create pattern chaos,-0.15,-0.3818
17,BW,setswana,"9, 12 Integrins are transmembrane glycoproteins that form heterodimers consisting of one alpha and one beta      subunit.",and kono.,0.9411764705882353,0.9338842975206612,kono,0.0,0.0
18,BW,setswana,"Make it personal
",Make it personal.,0.3333333333333333,0.0625,make personal,0.0,0.0
19,BW,setswana,"Wesson most recently finished an eight-year stint as L.A. City Council president, which he left in January to focus on his run for supervisor.
","Wesson most recently finished an 8-year stint as LA City Council President, which he left in January to focus on his run for supervisor.",0.125,0.056338028169014086,wesson recently finished 8year stint city council president left january focus run supervisor,0.16666666666666666,0.0
